transaction_id,store_id,city,date,vendor,amount,invoice_number,notes
TX-002-20240105-USFO,TX-002,Dallas,2024-01-05,US Foods,1600.80,INV-48502,Food delivery
TX-002-20240105-ATMO,TX-002,Dallas,2024-01-05,Atmos Gas,185.40,INV-29012,Gas utility
TX-002-20240105-OPEN,TX-002,Dallas,2024-01-05,OpenTable,90.00,INV-81201,Reservation software
TX-002-20240106-HOBA,TX-002,Dallas,2024-01-06,Hobart Service,280.00,INV-44322,Equipment maintenance
TX-002-20240106-CINL,TX-002,Dallas,2024-01-06,Cintas Linens,170.20,INV-57832,Linen service
TX-002-20240107-SYSC,TX-002,Dallas,2024-01-07,Sysco Foods,1870.00,INV-48521,Food delivery
TX-002-20240107-ADPP,TX-002,Dallas,2024-01-07,ADP Payroll,6350.00,INV-77411,Bi-weekly payroll
TX-002-20240108-REPU,TX-002,Dallas,2024-01-08,Republic Services,145.50,INV-22042,Trash pickup
TX-002-20240108-USFO,TX-002,Dallas,2024-01-08,US Foods,1710.00,INV-48601,Food delivery
TX-002-20240109-SHIF,TX-002,Dallas,2024-01-09,Shift Labor Inc,940.00,INV-55201,Weekend labor
TX-002-20240110-SYSC,TX-002,Dallas,2024-01-10,Sysco Foods,1830.50,INV-48651,Food delivery
TX-002-20240110-STAP,TX-002,Dallas,2024-01-10,Staples,91.00,INV-19205,Office supplies
TX-002-20240111-ADPP,TX-002,Dallas,2024-01-11,ADP Payroll,6420.00,INV-77451,Bi-weekly payroll
TX-002-20240111-ECOL,TX-002,Dallas,2024-01-11,Ecolab Cleaning,222.00,INV-66191,Cleaning supplies
TX-002-20240112-USFO,TX-002,Dallas,2024-01-12,US Foods,1660.40,INV-48711,Food delivery
TX-002-20240112-LOCA,TX-002,Dallas,2024-01-12,Local Produce Co,418.90,INV-10381,Fresh produce
TX-002-20240113-SYSC,TX-002,Dallas,2024-01-13,Sysco Foods,1900.20,INV-48761,Food delivery
TX-002-20240113-HOBA,TX-002,Dallas,2024-01-13,Hobart Service,300.00,INV-44401,Equipment maintenance
TX-002-20240114-TXUE,TX-002,Dallas,2024-01-14,TXU Energy,320.00,INV-33291,Electric bill
TX-002-20240115-ADPP,TX-002,Dallas,2024-01-15,ADP Payroll,6380.00,INV-77501,Bi-weekly payroll
TX-003-20240101-SYSC,TX-003,Austin,2024-01-01,Sysco Foods,1780.00,INV-48293,Weekly food delivery
TX-003-20240101-ADPP,TX-003,Austin,2024-01-01,ADP Payroll,5900.00,INV-77343,Bi-weekly payroll
TX-003-20240101-TXUE,TX-003,Austin,2024-01-01,TXU Energy,288.10,INV-33212,Monthly electric
TX-003-20240102-USFO,TX-003,Austin,2024-01-02,US Foods,1510.60,INV-48302,Food delivery
TX-003-20240102-SHIF,TX-003,Austin,2024-01-02,Shift Labor Inc,870.00,INV-55122,Weekend labor
TX-003-20240103-LOCA,TX-003,Austin,2024-01-03,Local Produce Co,395.40,INV-10295,Fresh produce
TX-003-20240103-HOBA,TX-003,Austin,2024-01-03,Hobart Service,1860.00,INV-44323,ANOMALY - major equipment repair
TX-003-20240104-SYSC,TX-003,Austin,2024-01-04,Sysco Foods,1720.80,INV-48412,Food delivery
TX-003-20240104-ADPP,TX-003,Austin,2024-01-04,ADP Payroll,6000.00,INV-77400,Bi-weekly payroll
TX-003-20240104-ECOL,TX-003,Austin,2024-01-04,Ecolab Cleaning,210.00,INV-66114,Cleaning supplies
TX-003-20240105-USFO,TX-003,Austin,2024-01-05,US Foods,1480.30,INV-48503,Food delivery
TX-003-20240105-ATMO,TX-003,Austin,2024-01-05,Atmos Gas,172.80,INV-29013,Gas utility
TX-003-20240105-OPEN,TX-003,Austin,2024-01-05,OpenTable,90.00,INV-81202,Reservation software
TX-003-20240106-CINL,TX-003,Austin,2024-01-06,Cintas Linens,155.60,INV-57833,Linen service
TX-003-20240106-REPU,TX-003,Austin,2024-01-06,Republic Services,136.00,INV-22043,Trash pickup
TX-003-20240107-SYSC,TX-003,Austin,2024-01-07,Sysco Foods,1800.10,INV-48522,Food delivery
TX-003-20240107-ADPP,TX-003,Austin,2024-01-07,ADP Payroll,5980.00,INV-77412,Bi-weekly payroll
TX-003-20240108-UNIF,TX-003,Austin,2024-01-08,Unifirst Uniforms,182.00,INV-34514,Uniform rental
TX-003-20240108-USFO,TX-003,Austin,2024-01-08,US Foods,1530.90,INV-48602,Food delivery
TX-003-20240109-SHIF,TX-003,Austin,2024-01-09,Shift Labor Inc,850.00,INV-55202,Weekend labor
TX-003-20240110-SYSC,TX-003,Austin,2024-01-10,Sysco Foods,1760.00,INV-48652,Food delivery
TX-003-20240110-STAP,TX-003,Austin,2024-01-10,Staples,78.50,INV-19206,Office supplies
TX-003-20240111-ADPP,TX-003,Austin,2024-01-11,ADP Payroll,5920.00,INV-77452,Bi-weekly payroll
TX-003-20240111-LOCA,TX-003,Austin,2024-01-11,Local Produce Co,401.20,INV-10382,Fresh produce
TX-003-20240112-USFO,TX-003,Austin,2024-01-12,US Foods,1495.70,INV-48712,Food delivery
TX-003-20240112-ECOL,TX-003,Austin,2024-01-12,Ecolab Cleaning,218.40,INV-66192,Cleaning supplies
TX-003-20240113-SYSC,TX-003,Austin,2024-01-13,Sysco Foods,1740.60,INV-48762,Food delivery
TX-003-20240113-HOBA,TX-003,Austin,2024-01-13,Hobart Service,305.00,INV-44402,Equipment maintenance
TX-003-20240114-TXUE,TX-003,Austin,2024-01-14,TXU Energy,292.30,INV-33292,Electric bill
TX-003-20240115-ADPP,TX-003,Austin,2024-01-15,ADP Payroll,5960.00,INV-77502,Bi-weekly payroll
TX-004-20240101-SYSC,TX-004,Houston,2024-01-01,Sysco Foods,2010.40,INV-48294,Weekly food delivery
TX-004-20240101-ADPP,TX-004,Houston,2024-01-01,ADP Payroll,6600.00,INV-77344,Bi-weekly payroll
TX-004-20240101-TXUE,TX-004,Houston,2024-01-01,TXU Energy,330.20,INV-33213,Monthly electric
TX-004-20240102-USFO,TX-004,Houston,2024-01-02,US Foods,1820.50,INV-48303,Food delivery
TX-004-20240102-SHIF,TX-004,Houston,2024-01-02,Shift Labor Inc,1020.00,INV-55123,Weekend labor
TX-004-20240103-LOCA,TX-004,Houston,2024-01-03,Local Produce Co,445.80,INV-10296,Fresh produce
TX-004-20240103-ECOL,TX-004,Houston,2024-01-03,Ecolab Cleaning,240.00,INV-66115,Cleaning supplies
TX-004-20240104-SYSC,TX-004,Houston,2024-01-04,Sysco Foods,1980.20,INV-48413,Food delivery
TX-004-20240104-ADPP,TX-004,Houston,2024-01-04,ADP Payroll,11880.00,INV-77401,ANOMALY - overtime event
TX-004-20240104-UNIF,TX-004,Houston,2024-01-04,Unifirst Uniforms,200.00,INV-34515,Uniform rental
TX-004-20240105-USFO,TX-004,Houston,2024-01-05,US Foods,1770.60,INV-48504,Food delivery
TX-004-20240105-ATMO,TX-004,Houston,2024-01-05,Atmos Gas,192.30,INV-29014,Gas utility
TX-004-20240105-OPEN,TX-004,Houston,2024-01-05,OpenTable,90.00,INV-81203,Reservation software
TX-004-20240106-HOBA,TX-004,Houston,2024-01-06,Hobart Service,320.00,INV-44324,Equipment maintenance
TX-004-20240106-CINL,TX-004,Houston,2024-01-06,Cintas Linens,175.80,INV-57834,Linen service
TX-004-20240107-SYSC,TX-004,Houston,2024-01-07,Sysco Foods,2040.00,INV-48523,Food delivery
TX-004-20240107-ADPP,TX-004,Houston,2024-01-07,ADP Payroll,6550.00,INV-77413,Bi-weekly payroll
TX-004-20240108-REPU,TX-004,Houston,2024-01-08,Republic Services,150.00,INV-22044,Trash pickup
TX-004-20240108-USFO,TX-004,Houston,2024-01-08,US Foods,1800.10,INV-48603,Food delivery
TX-004-20240109-SHIF,TX-004,Houston,2024-01-09,Shift Labor Inc,980.00,INV-55203,Weekend labor
TX-004-20240110-SYSC,TX-004,Houston,2024-01-10,Sysco Foods,1960.30,INV-48653,Food delivery
TX-004-20240110-STAP,TX-004,Houston,2024-01-10,Staples,95.40,INV-19207,Office supplies
TX-004-20240111-ADPP,TX-004,Houston,2024-01-11,ADP Payroll,6620.00,INV-77453,Bi-weekly payroll
TX-004-20240111-ECOL,TX-004,Houston,2024-01-11,Ecolab Cleaning,235.50,INV-66193,Cleaning supplies
TX-004-20240112-USFO,TX-004,Houston,2024-01-12,US Foods,1750.80,INV-48713,Food delivery
TX-004-20240112-LOCA,TX-004,Houston,2024-01-12,Local Produce Co,452.10,INV-10383,Fresh produce
TX-004-20240113-SYSC,TX-004,Houston,2024-01-13,Sysco Foods,2000.00,INV-48763,Food delivery
TX-004-20240113-HOBA,TX-004,Houston,2024-01-13,Hobart Service,315.00,INV-44403,Equipment maintenance
TX-004-20240114-TXUE,TX-004,Houston,2024-01-14,TXU Energy,338.40,INV-33293,Electric bill
TX-004-20240115-ADPP,TX-004,Houston,2024-01-15,ADP Payroll,6580.00,INV-77503,Bi-weekly payroll
TX-001-20240116-SYSC,TX-001,Fort Worth,2024-01-16,Sysco Foods,1865.00,INV-48800,Food delivery
TX-001-20240116-ADPP,TX-001,Fort Worth,2024-01-16,ADP Payroll,6150.00,INV-77510,Bi-weekly payroll
TX-001-20240117-USFO,TX-001,Fort Worth,2024-01-17,US Foods,1590.00,INV-48810,Food delivery
TX-001-20240117-SHIF,TX-001,Fort Worth,2024-01-17,Shift Labor Inc,900.00,INV-55290,Weekend labor
TX-001-20240118-LOCA,TX-001,Fort Worth,2024-01-18,Local Produce Co,398.00,INV-10400,Fresh produce
TX-001-20240118-ECOL,TX-001,Fort Worth,2024-01-18,Ecolab Cleaning,218.00,INV-66200,Cleaning supplies
TX-001-20240119-SYSC,TX-001,Fort Worth,2024-01-19,Sysco Foods,1780.00,INV-48820,Food delivery
TX-001-20240119-HOBA,TX-001,Fort Worth,2024-01-19,Hobart Service,290.00,INV-44410,Equipment maintenance
TX-001-20240120-ADPP,TX-001,Fort Worth,2024-01-20,ADP Payroll,6200.00,INV-77520,Bi-weekly payroll
TX-001-20240120-TXUE,TX-001,Fort Worth,2024-01-20,TXU Energy,301.00,INV-33300,Electric bill
TX-002-20240116-SYSC,TX-002,Dallas,2024-01-16,Sysco Foods,1890.00,INV-48801,Food delivery
TX-002-20240116-ADPP,TX-002,Dallas,2024-01-16,ADP Payroll,6420.00,INV-77511,Bi-weekly payroll
TX-002-20240117-USFO,TX-002,Dallas,2024-01-17,US Foods,1680.00,INV-48811,Food delivery
TX-002-20240117-SHIF,TX-002,Dallas,2024-01-17,Shift Labor Inc,950.00,INV-55291,Weekend labor
TX-002-20240118-LOCA,TX-002,Dallas,2024-01-18,Local Produce Co,422.00,INV-10401,Fresh produce
TX-002-20240118-ECOL,TX-002,Dallas,2024-01-18,Ecolab Cleaning,228.00,INV-66201,Cleaning supplies
TX-002-20240119-SYSC,TX-002,Dallas,2024-01-19,Sysco Foods,1840.00,INV-48821,Food delivery
TX-002-20240119-HOBA,TX-002,Dallas,2024-01-19,Hobart Service,295.00,INV-44411,Equipment maintenance
TX-002-20240120-ADPP,TX-002,Dallas,2024-01-20,ADP Payroll,6360.00,INV-77521,Bi-weekly payroll
TX-002-20240120-ATMO,TX-002,Dallas,2024-01-20,Atmos Gas,180.00,INV-29020,Gas utility
TX-003-20240116-SYSC,TX-003,Austin,2024-01-16,Sysco Foods,1770.00,INV-48802,Food delivery
TX-003-20240116-ADPP,TX-003,Austin,2024-01-16,ADP Payroll,5950.00,INV-77512,Bi-weekly payroll
TX-003-20240117-USFO,TX-003,Austin,2024-01-17,US Foods,1500.00,INV-48812,Food delivery
TX-003-20240117-SHIF,TX-003,Austin,2024-01-17,Shift Labor Inc,860.00,INV-55292,Weekend labor
TX-003-20240118-LOCA,TX-003,Austin,2024-01-18,Local Produce Co,392.00,INV-10402,Fresh produce
TX-003-20240118-CINL,TX-003,Austin,2024-01-18,Cintas Linens,158.00,INV-57840,Linen service
TX-003-20240119-SYSC,TX-003,Austin,2024-01-19,Sysco Foods,1750.00,INV-48822,Food delivery
TX-003-20240119-HOBA,TX-003,Austin,2024-01-19,Hobart Service,298.00,INV-44412,Equipment maintenance
TX-003-20240120-ADPP,TX-003,Austin,2024-01-20,ADP Payroll,5970.00,INV-77522,Bi-weekly payroll
TX-003-20240120-TXUE,TX-003,Austin,2024-01-20,TXU Energy,285.00,INV-33301,Electric bill
TX-004-20240116-SYSC,TX-004,Houston,2024-01-16,Sysco Foods,2020.00,INV-48803,Food delivery
TX-004-20240116-ADPP,TX-004,Houston,2024-01-16,ADP Payroll,6590.00,INV-77513,Bi-weekly payroll
TX-004-20240117-USFO,TX-004,Houston,2024-01-17,US Foods,1790.00,INV-48813,Food delivery
TX-004-20240117-SHIF,TX-004,Houston,2024-01-17,Shift Labor Inc,1000.00,INV-55293,Weekend labor
TX-004-20240118-LOCA,TX-004,Houston,2024-01-18,Local Produce Co,448.00,INV-10403,Fresh produce
TX-004-20240118-ECOL,TX-004,Houston,2024-01-18,Ecolab Cleaning,238.00,INV-66202,Cleaning supplies
TX-004-20240119-SYSC,TX-004,Houston,2024-01-19,Sysco Foods,1990.00,INV-48823,Food delivery
TX-004-20240119-HOBA,TX-004,Houston,2024-01-19,Hobart Service,318.00,INV-44413,Equipment maintenance
TX-004-20240120-ADPP,TX-004,Houston,2024-01-20,ADP Payroll,6610.00,INV-77523,Bi-weekly payroll
TX-004-20240120-ATMO,TX-004,Houston,2024-01-20,Atmos Gas,190.00,INV-29021,Gas utility
